modifier,location,condition,default_hotkey,command_id,comment,application,group
rebase,branch,,,`git.rebase`,Rebase Branch...,VS Code,Git (built-in)
new,tag,,,`git.createTag`,Create Tag,VS Code,Git (built-in)
delete,tag,,,`git.deleteTag`,Delete Tag,VS Code,Git (built-in)
new,stash,,,`git.stash`,Stash,VS Code,Git (built-in)
restore,stash,,,`git.stashApply`,Apply Stash...,VS Code,Git (built-in)
restore,stash,,,`git.stashPop`,Pop Stash...,VS Code,Git (built-in)
delete,stash,,,`git.stashDrop`,Drop Stash...,VS Code,Git (built-in)
new,repository,,,`git.init`,Initialize Repository,VS Code,Git (built-in)
clone,repository,,,`git.clone`,Clone,VS Code,Git (built-in)
close,repository,,,`git.close`,Close Repository,VS Code,Git (built-in)
open,change,,,`git.openChange`,Open Changes (diff view for selected file),VS Code,Git (built-in)
open,file,,,`git.openFile`,Open File (from a change),VS Code,Git (built-in)
open,change,,,`git.openAllChanges`,Open All Changes,VS Code,Git (built-in)
undo,commit,,,`git.undoCommit`,Undo Last Commit,VS Code,Git (built-in)
,,,,`git.ignore`,Add File to .gitignore,VS Code,Git (built-in)
show,output,,,`git.showOutput`,Show Git Output,VS Code,Git (built-in)
show,history,,,`git.viewHistory`,View Git History for file/repo,VS Code,Git (built-in)
,,,,`git.compareWithHead`,Compare Changes with HEAD,VS Code,Git (built-in)
activate,search,,Ctrl+Shift+F,`workbench.view.search`,Show Search / Find in Files,VS Code,Search
replace,file,,Ctrl+Shift+H,`workbench.action.replaceInFiles`,Replace in Files,VS Code,Search
open,search,,Ctrl+F,`actions.find`,Find (in current editor),VS Code,Search
open,search,,Ctrl+H,`editor.action.startFindReplaceAction`,Replace (in current editor),VS Code,Search
next,match,,F3,`editor.action.nextMatchFindAction`,Find Next,VS Code,Search
previous,match,,Shift+F3,`editor.action.previousMatchFindAction`,Find Previous,VS Code,Search
next,match,,Ctrl+F3,`editor.action.nextSelectionMatchFindAction`,Find Next Selection Match,VS Code,Search
previous,match,,Ctrl+Shift+F3,`editor.action.previousSelectionMatchFindAction`,Find Previous Selection Match,VS Code,Search
,,,Alt+C,`toggleFindCaseSensitive`,Toggle Find Case Sensitive (editor Find widget),VS Code,Search
,,,Alt+R,`toggleFindRegex`,Toggle Find Use Regular Expression,VS Code,Search
,,,Alt+W,`toggleFindWholeWord`,Toggle Find Whole Word,VS Code,Search
,,,Alt+C,`toggleSearchCaseSensitive`,Toggle Match Case (Search view),VS Code,Search
,,,Alt+W,`toggleSearchWholeWord`,Toggle Match Whole Word (Search view),VS Code,Search
,,,Alt+R,`toggleSearchRegex`,Toggle Use Regular Expression (Search view),VS Code,Search
,,,,`workbench.action.search.toggleQueryDetails`,Toggle Search Details (include/exclude fields),VS Code,Search
next,result,,F4,`search.action.focusNextSearchResult`,Focus Next Search Result,VS Code,Search
previous,result,,Shift+F4,`search.action.focusPreviousSearchResult`,Focus Previous Search Result,VS Code,Search
open,result,,,`search.action.openInEditor`,Open Results in Editor (Search Editor),VS Code,Search
activate,search,,,`search.action.focusQueryEditorWidget`,Focus Search Editor Input,VS Code,Search
run,search,,Ctrl+Shift+R,`rerunSearchEditorSearch`,Search Again (in Search Editor),VS Code,Search
delete,result,,Ctrl+Shift+Backspace,`search.searchEditor.action.deleteFileResults`,Delete File Results (Search Editor),VS Code,Search
next,history,,Alt+Down,`history.showNext`,Show Next Search Term in field history,VS Code,Search
previous,history,,Alt+Up,`history.showPrevious`,Show Previous Search Term,VS Code,Search
open,search,,Ctrl+Shift+F,`workbench.action.terminal.searchWorkspace`,Search Workspace using terminal selection,VS Code,Search
run,cell,,Ctrl+Alt+Enter,`notebook.cell.execute`,Execute the focused cell,VS Code,Notebook
run,cell,,Alt+Enter,`notebook.cell.executeAndInsertBelow`,Execute cell and insert a new one below,VS Code,Notebook
run,cell,,Shift+Enter,`notebook.cell.executeAndSelectBelow`,Execute cell and select the next one,VS Code,Notebook
new,cell,,Ctrl+Shift+Enter,`notebook.cell.insertCodeCellAbove`,Insert Code Cell Above,VS Code,Notebook
new,cell,,Ctrl+Enter,`notebook.cell.insertCodeCellBelow`,Insert Code Cell Below,VS Code,Notebook
open,cell,,Enter,`notebook.cell.edit`,Enter edit mode on the focused cell,VS Code,Notebook
close,cell,,Escape,`notebook.cell.quitEdit`,Stop editing / return to command mode,VS Code,Notebook
delete,cell,,Delete (command mode),`notebook.cell.delete`,Delete Cell,VS Code,Notebook
move,cell,,Alt+Up,`notebook.cell.moveUp`,Move Cell Up,VS Code,Notebook
move,cell,,Alt+Down,`notebook.cell.moveDown`,Move Cell Down,VS Code,Notebook
copy,cell,,Shift+Alt+Up,`notebook.cell.copyUp`,Copy Cell Up,VS Code,Notebook
copy,cell,,Shift+Alt+Down,`notebook.cell.copyDown`,Copy Cell Down,VS Code,Notebook
new,split,,Ctrl+Shift+\,`notebook.cell.split`,Split Cell at cursor,VS Code,Notebook
,,,Shift+Alt+Win+J,`notebook.cell.joinAbove`,Join With Previous Cell,VS Code,Notebook
,,,Alt+Win+J,`notebook.cell.joinBelow`,Join With Next Cell,VS Code,Notebook
,,,Y (command mode),`notebook.cell.changeToCode`,Change Cell to Code,VS Code,Notebook
,,,M (command mode),`notebook.cell.changeToMarkdown`,Change Cell to Markdown,VS Code,Notebook
,,,Ctrl+K M,`notebook.cell.changeLanguage`,Change Cell Language,VS Code,Notebook
,,,Shift+Alt+D,`notebook.cell.detectLanguage`,Detect Cell Language,VS Code,Notebook
delete,output,,Alt+Delete,`notebook.cell.clearOutputs`,Clear Cell Outputs,VS Code,Notebook
collapse,cell,,Ctrl+K Ctrl+C,`notebook.cell.collapseCellInput`,Collapse Cell Input,VS Code,Notebook
expand,cell,,Ctrl+K Ctrl+C,`notebook.cell.expandCellInput`,Expand Cell Input,VS Code,Notebook
collapse,output,,Ctrl+K T,`notebook.cell.collapseCellOutput`,Collapse Cell Output,VS Code,Notebook
expand,output,,Ctrl+K T,`notebook.cell.expandCellOutput`,Expand Cell Output,VS Code,Notebook
,,,Ctrl+K Y,`notebook.cell.toggleOutputScrolling`,Toggle Scrollable Cell Output,VS Code,Notebook
paste,cell,,Ctrl+Shift+V,`notebook.cell.pasteAbove`,Paste Cell Above,VS Code,Notebook
,,,Ctrl+I,`notebook.cell.chat.start`,Start Cell inline chat,VS Code,Notebook
,,,Ctrl+.,`notebook.cell.openFailureActions`,Open failed-cell Quick Fixes,VS Code,Notebook
open,search,,Ctrl+F,`notebook.find`,Find in Notebook,VS Code,Notebook
select,match,,Ctrl+D,`notebook.addFindMatchToSelection`,Add Find Match to Selection,VS Code,Notebook
select,match,,Ctrl+Shift+L,`notebook.selectAllFindMatches`,Select All Find Matches,VS Code,Notebook
,,,Ctrl+L,`notebook.centerActiveCell`,Center the active cell in the viewport,VS Code,Notebook
,,,Ctrl+Home,`notebook.focusTop`,Focus First Cell,VS Code,Notebook
,,,Ctrl+End,`notebook.focusBottom`,Focus Last Cell,VS Code,Notebook
next,cell,,Down,`notebook.focusNextEditor`,Focus Next Cell Editor,VS Code,Notebook
previous,cell,,Up,`notebook.focusPreviousEditor`,Focus Previous Cell Editor,VS Code,Notebook
collapse,cell,,Ctrl+Shift+[,`notebook.fold`,Fold Notebook Cell(s),VS Code,Notebook
expand,cell,,Ctrl+Shift+],`notebook.unfold`,Unfold Notebook Cell(s),VS Code,Notebook
format,,,Shift+Alt+F,`notebook.format`,Format Notebook,VS Code,Notebook
toggle,comment,,Ctrl+/,`notebook.commentSelectedCells`,Comment Selected Cells,VS Code,Notebook
new,comment_thread,,Ctrl+K Ctrl+Alt+C,`workbench.action.addComment`,Add a Comment on the current line/range,VS Code,Comments
save,comment_thread,,Ctrl+Enter,`editor.action.submitComment`,Submit the comment being edited,VS Code,Comments
next,comment_thread,,Alt+F9,`editor.action.nextCommentThreadAction`,Go to Next Comment Thread,VS Code,Comments
previous,comment_thread,,Shift+Alt+F9,`editor.action.previousCommentThreadAction`,Go to Previous Comment Thread,VS Code,Comments
next,comment_thread,,Alt+F10,`editor.action.nextCommentedRangeAction`,Go to Next Commented Range,VS Code,Comments
previous,comment_thread,,Shift+Alt+F10,`editor.action.previousCommentedRangeAction`,Go to Previous Commented Range,VS Code,Comments
open,search,,Ctrl+F,`commentsFocusFilter`,Focus the Filter box in the Comments panel,VS Code,Comments
,,,Escape,`commentsClearFilterText`,Clear Comments panel filter text,VS Code,Comments
,,,Ctrl+Down,`commentsFocusViewFromFilter`,Move focus from filter into Comments list,VS Code,Comments
collapse,comment_thread,,,`workbench.action.collapseAllComments`,Collapse All Comment Threads,VS Code,Comments
expand,comment_thread,,,`workbench.action.expandAllComments`,Expand All Comment Threads,VS Code,Comments
toggle,comment_thread,,,`workbench.action.toggleCommentThread`,Toggle a comment thread's expand state,VS Code,Comments
close,comment_thread,,,`workbench.action.hideCommentThread`,Hide/dispose a comment thread,VS Code,Comments
activate,comment_thread,,,`workbench.action.focusCommentsPanel`,Focus the Comments panel,VS Code,Comments
new,split,,Ctrl+\,`workbench.action.splitEditor`,Split Editor,VS Code,Window & Editor Group Management
new,split,,Ctrl+K Ctrl+\,`workbench.action.splitEditorDown`,Split Editor Down,VS Code,Window & Editor Group Management
new,split,,,`workbench.action.splitEditorOrthogonal`,Split Editor Orthogonal (opposite of current layout),VS Code,Window & Editor Group Management
activate,group,,Ctrl+1,`workbench.action.focusFirstEditorGroup`,Focus First Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+2,`workbench.action.focusSecondEditorGroup`,Focus Second Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+3,`workbench.action.focusThirdEditorGroup`,Focus Third Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+4,`workbench.action.focusFourthEditorGroup`,Focus Fourth Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+5,`workbench.action.focusFifthEditorGroup`,Focus Fifth Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+6,`workbench.action.focusSixthEditorGroup`,Focus Sixth Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+7,`workbench.action.focusSeventhEditorGroup`,Focus Seventh Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+8,`workbench.action.focusEighthEditorGroup`,Focus Eighth Editor Group,VS Code,Window & Editor Group Management
activate,group,,Ctrl+K Ctrl+Left,`workbench.action.focusLeftGroup`,Focus Editor Group to the Left,VS Code,Window & Editor Group Management
activate,group,,Ctrl+K Ctrl+Right,`workbench.action.focusRightGroup`,Focus Editor Group to the Right,VS Code,Window & Editor Group Management
activate,group,,Ctrl+K Ctrl+Up,`workbench.action.focusAboveGroup`,Focus Editor Group Above,VS Code,Window & Editor Group Management
activate,group,,Ctrl+K Ctrl+Down,`workbench.action.focusBelowGroup`,Focus Editor Group Below,VS Code,Window & Editor Group Management
activate,sidebar,,Ctrl+0,`workbench.action.focusSideBar`,Focus into Side Bar,VS Code,Window & Editor Group Management
,,,F6,`workbench.action.focusNextPart`,Move Focus to Next Part of the workbench,VS Code,Window & Editor Group Management
,,,Shift+F6,`workbench.action.focusPreviousPart`,Move Focus to Previous Part,VS Code,Window & Editor Group Management
move,group,,Ctrl+Alt+Right,`workbench.action.moveEditorToNextGroup`,Move Editor into Next Group,VS Code,Window & Editor Group Management
move,group,,Ctrl+Alt+Left,`workbench.action.moveEditorToPreviousGroup`,Move Editor into Previous Group,VS Code,Window & Editor Group Management
move,left,,Ctrl+Shift+PageUp,`workbench.action.moveEditorLeftInGroup`,Move Editor Left within Tab bar,VS Code,Window & Editor Group Management
move,right,,Ctrl+Shift+PageDown,`workbench.action.moveEditorRightInGroup`,Move Editor Right within Tab bar,VS Code,Window & Editor Group Management
move,group,,Shift+Alt+1,`workbench.action.moveEditorToFirstGroup`,Move Editor into First Group,VS Code,Window & Editor Group Management
move,group,,Shift+Alt+9,`workbench.action.moveEditorToLastGroup`,Move Editor into Last Group,VS Code,Window & Editor Group Management
move,left,,,`workbench.action.moveActiveEditorGroupLeft`,Move Active Editor Group Left,VS Code,Window & Editor Group Management
move,right,,,`workbench.action.moveActiveEditorGroupRight`,Move Active Editor Group Right,VS Code,Window & Editor Group Management
close,group,,Ctrl+W / Ctrl+F4,`workbench.action.closeGroup`,Close the active editor group,VS Code,Window & Editor Group Management
close,group,,Ctrl+K Ctrl+Shift+W,`workbench.action.closeAllGroups`,Close All Editor Groups,VS Code,Window & Editor Group Management
toggle,group,,Shift+Alt+0,`workbench.action.toggleEditorGroupLayout`,Toggle Vertical/Horizontal Editor Layout,VS Code,Window & Editor Group Management
maximize,group,,Ctrl+K Ctrl+M,`workbench.action.toggleMaximizeEditorGroup`,Toggle Maximize Active Editor Group,VS Code,Window & Editor Group Management
reset,group,,,`workbench.action.evenEditorWidths`,Reset Editor Group Sizes to be even,VS Code,Window & Editor Group Management
next,editor,,Ctrl+PageDown,`workbench.action.nextEditor`,Open Next Editor,VS Code,Window & Editor Group Management
previous,editor,,Ctrl+PageUp,`workbench.action.previousEditor`,Open Previous Editor,VS Code,Window & Editor Group Management
next,editor,,Ctrl+K Ctrl+PageDown,`workbench.action.nextEditorInGroup`,Open Next Editor in Group,VS Code,Window & Editor Group Management
previous,editor,,Ctrl+K Ctrl+PageUp,`workbench.action.previousEditorInGroup`,Open Previous Editor in Group,VS Code,Window & Editor Group Management
close,editor,,Ctrl+W,`workbench.action.closeActiveEditor`,Close active tab,VS Code,Tabs
close,editor,,,`workbench.action.closeOtherEditors`,Close all other tabs in the group,VS Code,Tabs
close,editor,,,`workbench.action.closeEditorsToTheRight`,Close tabs to the right of this one,VS Code,Tabs
close,editor,,Ctrl+K Ctrl+W,`workbench.action.closeAllEditors`,Close All tabs,VS Code,Tabs
close,editor,,Ctrl+K U,`workbench.action.closeUnmodifiedEditors`,Close Unmodified tabs,VS Code,Tabs
open,closed,,Ctrl+Shift+T,`workbench.action.reopenClosedEditor`,Reopen a closed tab,VS Code,Tabs
show,editor,,,`workbench.action.showAllEditors`,Show All Editors by Most Recently Used,VS Code,Tabs
show,editor,,,`workbench.action.showEditorsInActiveGroup`,Show all tabs in the active group,VS Code,Tabs
enable,pin,,Ctrl+K Shift+Enter,`workbench.action.pinEditor`,Pin Editor tab (keep open),VS Code,Tabs
disable,pin,,Ctrl+K Shift+Enter,`workbench.action.unpinEditor`,Unpin Editor tab,VS Code,Tabs
enable,pin,,,`workbench.action.keepEditor`,Keep a preview editor tab permanently open,VS Code,Tabs
previous,editor,,Ctrl+Tab,`workbench.action.quickOpenPreviousRecentlyUsedEditorInGroup`,Cycle through open tabs,VS Code,Tabs
move,left,,Ctrl+Shift+PageUp,`workbench.action.moveEditorLeftInGroup`,Move Tab Left,VS Code,Tabs
move,right,,Ctrl+Shift+PageDown,`workbench.action.moveEditorRightInGroup`,Move Tab Right,VS Code,Tabs
next,editor,,,`workbench.action.openNextRecentlyUsedEditorInGroup`,Open Next Recently Used Editor in current group,VS Code,Tabs
previous,editor,,,`workbench.action.openPreviousRecentlyUsedEditorInGroup`,Open Previous Recently Used Editor in current group,VS Code,Tabs
,,,Ctrl+K Z,`workbench.action.toggleZenMode`,Toggle Zen Mode,VS Code,Zen & Layout
,,,Escape Escape,`workbench.action.exitZenMode`,Exit Zen Mode,VS Code,Zen & Layout
toggle,screen,,F11,`workbench.action.toggleFullScreen`,Toggle Full Screen,VS Code,Zen & Layout
toggle,sidebar,,Ctrl+B,`workbench.action.toggleSidebarVisibility`,Toggle Primary Side Bar Visibility,VS Code,Zen & Layout
toggle,sidebar,,Ctrl+Alt+B,`workbench.action.toggleAuxiliaryBar`,Toggle Secondary Side Bar,VS Code,Zen & Layout
toggle,panel,,Ctrl+J,`workbench.action.togglePanel`,Toggle Panel Visibility,VS Code,Zen & Layout
maximize,panel,,,`workbench.action.toggleMaximizedPanel`,Toggle Maximized Panel,VS Code,Zen & Layout
,,,,`workbench.action.toggleStatusbarVisibility`,Toggle Status Bar Visibility,VS Code,Zen & Layout
,,,,`workbench.action.toggleActivityBarVisibility`,Toggle Activity Bar Visibility,VS Code,Zen & Layout
,,,,`workbench.action.toggleMenuBar`,Toggle Menu Bar Visibility,VS Code,Zen & Layout
,,,,`workbench.action.toggleTabsVisibility`,Toggle Editor Tabs Visibility,VS Code,Zen & Layout
move,right,,,`workbench.action.moveSideBarRight`,Move Side Bar to the Right,VS Code,Zen & Layout
move,left,,,`workbench.action.moveSideBarLeft`,Move Side Bar to the Left,VS Code,Zen & Layout
more,zoom,,Ctrl+=,`workbench.action.zoomIn`,Zoom In,VS Code,Zen & Layout
less,zoom,,Ctrl+-,`workbench.action.zoomOut`,Zoom Out,VS Code,Zen & Layout
reset,zoom,,Ctrl+Numpad0,`workbench.action.zoomReset`,Reset Zoom,VS Code,Zen & Layout
run,task,,,`workbench.action.tasks.runTask`,Run Task... (task picker),VS Code,Tasks
run,task,,Ctrl+Shift+B,`workbench.action.tasks.build`,Run Build Task,VS Code,Tasks
run,task,,,`workbench.action.tasks.test`,Run Test Task,VS Code,Tasks
run,task,,,`workbench.action.tasks.reRunTask`,Rerun Last Task,VS Code,Tasks
run,task,,Ctrl+Shift+R,`workbench.action.tasks.rerunForActiveTerminal`,Rerun the Task associated with the active terminal,VS Code,Tasks
restart,task,,,`workbench.action.tasks.restartTask`,Restart Running Task,VS Code,Tasks
stop,task,,,`workbench.action.tasks.terminate`,Terminate Task,VS Code,Tasks
show,task,,,`workbench.action.tasks.showTasks`,Show Running Tasks,VS Code,Tasks
show,output,,,`workbench.action.tasks.showLog`,Show Task Log,VS Code,Tasks
,,,,`workbench.action.tasks.configureTaskRunner`,Configure Task,VS Code,Tasks
,,,,`workbench.action.tasks.configureDefaultBuildTask`,Configure Default Build Task,VS Code,Tasks
show,preview,,,`markdown.showPreview`,Open Markdown Preview,VS Code,Markdown Preview
show,preview,,Ctrl+K V,`markdown.showPreviewToSide`,Open Markdown Preview to the Side,VS Code,Markdown Preview
show,document,,,`markdown.showSource`,Show Markdown Source,VS Code,Markdown Preview
toggle,preview,,Ctrl+Shift+V,`markdown.togglePreview`,Toggle between editor and Preview,VS Code,Markdown Preview
,,,,`markdown.showPreviewSecuritySelector`,Change Markdown Preview Security Settings,VS Code,Markdown Preview
,,,,`markdown.preview.toggleLock`,Toggle Preview Locking to current editor,VS Code,Markdown Preview
,,,,`markdown.preview.refresh`,Refresh Markdown Preview,VS Code,Markdown Preview
open,search,,,`markdown.findInPreview`,Find in the rendered Preview,VS Code,Markdown Preview
,,,,`markdown.copyImage`,Copy Image from preview,VS Code,Markdown Preview
manual,,,Alt+F1,`editor.action.accessibilityHelp`,Open Accessibility Help dialog,VS Code,Accessibility
show,screen_reader,,Alt+F2,`editor.action.accessibleView`,Open Accessible View (screen-reader friendly rendering),VS Code,Accessibility
next,screen_reader,,Alt+],`editor.action.accessibleViewNext`,Show Next in Accessible View,VS Code,Accessibility
previous,screen_reader,,Alt+[,`editor.action.accessibleViewPrevious`,Show Previous in Accessible View,VS Code,Accessibility
next,block,,Ctrl+Alt+PageDown,`editor.action.accessibleViewNextCodeBlock`,Accessible View: Next Code Block,VS Code,Accessibility
previous,block,,Ctrl+Alt+PageUp,`editor.action.accessibleViewPreviousCodeBlock`,Accessible View: Previous Code Block,VS Code,Accessibility
go_to,symbol,,Ctrl+Shift+O,`editor.action.accessibleViewGoToSymbol`,Go to Symbol in Accessible View,VS Code,Accessibility
,,,Alt+F6,`editor.action.accessibleViewDisableHint`,Disable the hint for opening Accessible View,VS Code,Accessibility
open,keybinding,,Alt+K,`editor.action.accessibilityHelpConfigureKeybindings`,Configure Keybindings from Accessibility Help,VS Code,Accessibility
open,keybinding,,Alt+A,`editor.action.accessibilityHelpConfigureAssignedKeybindings`,Configure Assigned Keybindings,VS Code,Accessibility
manual,,,Alt+H,`editor.action.accessibilityHelpOpenHelpLink`,Open Help Link from Accessibility Help,VS Code,Accessibility
next,change,,F7,`editor.action.accessibleDiffViewer.next`,Go to Next Difference in Accessible Diff Viewer,VS Code,Accessibility
previous,change,,Shift+F7,`editor.action.accessibleDiffViewer.prev`,Go to Previous Difference in Accessible Diff Viewer,VS Code,Accessibility
previous,word,,Ctrl+Left,`cursorWordAccessibilityLeft`,Move cursor a word left (screen-reader mode word logic),VS Code,Accessibility
next,word,,Ctrl+Right,`cursorWordAccessibilityRight`,Move cursor a word right (screen-reader mode),VS Code,Accessibility
toggle,screen_reader,,,`workbench.action.toggleScreenReaderAccessibilityMode`,Toggle Screen Reader Accessibility Mode,VS Code,Accessibility
open,setting,,"Ctrl+,",`workbench.action.openSettings`,Open Settings (UI editor),VS Code,Settings & Keybindings Editor
open,setting,,,`workbench.action.openSettingsJson`,Open Settings (JSON),VS Code,Settings & Keybindings Editor
open,setting,,,`workbench.action.openGlobalSettings`,Open User Settings,VS Code,Settings & Keybindings Editor
open,setting,,,`workbench.action.openWorkspaceSettings`,Open Workspace Settings,VS Code,Settings & Keybindings Editor
open,setting,,,`workbench.action.openAccessibilitySettings`,Open Accessibility Settings,VS Code,Settings & Keybindings Editor
open,keybinding,,Ctrl+K Ctrl+S,`workbench.action.openGlobalKeybindings`,Open Keyboard Shortcuts editor,VS Code,Settings & Keybindings Editor
open,keybinding,,,`workbench.action.openGlobalKeybindingsFile`,Open Keyboard Shortcuts (JSON),VS Code,Settings & Keybindings Editor
open,keybinding,,,`workbench.action.openDefaultKeybindingsFile`,"Open Default Keyboard Shortcuts (JSON), read-only reference",VS Code,Settings & Keybindings Editor
open,theme,,Ctrl+K Ctrl+T,`workbench.action.selectTheme`,Select Color Theme,VS Code,Settings & Keybindings Editor
open,theme,,,`workbench.action.selectIconTheme`,Select File Icon Theme,VS Code,Settings & Keybindings Editor
open,setting,,,`workbench.action.configureLanguageBasedSettings`,Configure Language Specific Settings...,VS Code,Settings & Keybindings Editor
open,search,,Ctrl+F,`settings.action.search`,Focus Settings Search box,VS Code,Settings & Keybindings Editor
,,,Escape,`settings.action.clearSearchResults`,Clear Settings Search Results,VS Code,Settings & Keybindings Editor
toggle,search,,Ctrl+I,`settings.action.toggleAiSearch`,Toggle AI-assisted Settings Search,VS Code,Settings & Keybindings Editor
activate,extension,,Ctrl+Shift+X,`workbench.view.extensions`,Show Extensions view,VS Code,Extensions View
new,extension,,,`workbench.extensions.action.installExtension`,Install a specific Extension by id,VS Code,Extensions View
show,extension,,,`workbench.extensions.action.showInstalledExtensions`,Show Installed Extensions,VS Code,Extensions View
show,extension,,,`workbench.extensions.action.showEnabledExtensions`,Show Enabled Extensions,VS Code,Extensions View
show,extension,,,`workbench.extensions.action.showDisabledExtensions`,Show Disabled Extensions,VS Code,Extensions View
show,extension,,,`workbench.extensions.action.showRecommendedExtensions`,Show Recommended Extensions,VS Code,Extensions View
show,extension,,,`workbench.extensions.action.showPopularExtensions`,Show Popular Extensions,VS Code,Extensions View
show,extension,,,`workbench.extensions.action.showBuiltInExtensions`,Show Built-in Extensions,VS Code,Extensions View
,,,,`workbench.extensions.action.checkForUpdates`,Check for Extension Updates,VS Code,Extensions View
,,,,`workbench.extensions.action.updateAllExtensions`,Update All Extensions,VS Code,Extensions View
disable,extension,,,`workbench.extensions.action.disableAll`,Disable All Installed Extensions,VS Code,Extensions View
enable,extension,,,`workbench.extensions.action.enableAll`,Enable All Extensions,VS Code,Extensions View
,,,,`workbench.extensions.action.configureWorkspaceRecommendedExtensions`,Configure Workspace Recommended Extensions,VS Code,Extensions View
open,folder,,,`workbench.extensions.action.openExtensionsFolder`,Open Extensions Folder,VS Code,Extensions View
,,,Ctrl+Space / Ctrl+I,`editor.action.triggerSuggest`,Trigger Suggest (IntelliSense),VS Code,IntelliSense & Suggestions
,,,Ctrl+Shift+Space,`editor.action.triggerParameterHints`,Trigger Parameter Hints,VS Code,IntelliSense & Suggestions
,,,Tab,`editor.action.inlineSuggest.commit`,Accept the current inline (ghost text) suggestion,VS Code,IntelliSense & Suggestions
next,,,Alt+],`editor.action.inlineSuggest.showNext`,Show Next Inline Suggestion,VS Code,IntelliSense & Suggestions
previous,,,Alt+[,`editor.action.inlineSuggest.showPrevious`,Show Previous Inline Suggestion,VS Code,IntelliSense & Suggestions
,,,Escape,`editor.action.inlineSuggest.hide`,Hide the current inline suggestion,VS Code,IntelliSense & Suggestions
,,,Ctrl+/,`toggleExplainMode`,Toggle Explain Mode in the suggest widget,VS Code,IntelliSense & Suggestions
insert,snippet,,Tab,`insertSnippet`,Insert a matching snippet completion,VS Code,IntelliSense & Suggestions
previous,,,Alt+Left,`IDC_BACK`,Go back one page in tab history,Google Chrome,Navigation
next,,,Alt+Right,`IDC_FORWARD`,Go forward one page in tab history,Google Chrome,Navigation
restart,,,"Ctrl+R, F5",`IDC_RELOAD`,Reload the current page,Google Chrome,Navigation
,,,Alt+Home,`IDC_HOME`,Navigate to the homepage,Google Chrome,Navigation
,,,,`IDC_OPEN_CURRENT_URL`,Navigate to whatever's typed in the omnibox,Google Chrome,Navigation
stop,,,,`IDC_STOP`,Stop the page from loading,Google Chrome,Navigation
restart,,,"Ctrl+Shift+R, Shift+F5, Ctrl+F5",`IDC_RELOAD_BYPASSING_CACHE`,"Hard reload, bypassing the cache",Google Chrome,Navigation
restart,,,,`IDC_RELOAD_CLEARING_CACHE`,Reload after clearing the cache,Google Chrome,Navigation
new,window,,Ctrl+N,`IDC_NEW_WINDOW`,Open a new browser window,Google Chrome,Windows & Tabs
new,window,,Ctrl+Shift+N,`IDC_NEW_INCOGNITO_WINDOW`,Open a new Incognito window,Google Chrome,Windows & Tabs
close,window,,"Ctrl+Shift+W, Alt+F4",`IDC_CLOSE_WINDOW`,Close the current window,Google Chrome,Windows & Tabs
new,tab,,Ctrl+T,`IDC_NEW_TAB`,Open a new tab,Google Chrome,Windows & Tabs
close,tab,,"Ctrl+W, Ctrl+F4",`IDC_CLOSE_TAB`,Close the current tab,Google Chrome,Windows & Tabs
next,tab,,Ctrl+PageDown,`IDC_SELECT_NEXT_TAB`,Switch to the next tab,Google Chrome,Windows & Tabs
previous,tab,,Ctrl+PageUp,`IDC_SELECT_PREVIOUS_TAB`,Switch to the previous tab,Google Chrome,Windows & Tabs
next,tab,,Ctrl+Tab,`IDC_CYCLE_TO_NEXT_TAB`,Cycle forward through tabs,Google Chrome,Windows & Tabs
previous,tab,,Ctrl+Shift+Tab,`IDC_CYCLE_TO_PREV_TAB`,Cycle backward through tabs,Google Chrome,Windows & Tabs
,,,Ctrl+1,`IDC_SELECT_TAB_0`,Jump to tab 1,Google Chrome,Windows & Tabs
,,,Ctrl+2,`IDC_SELECT_TAB_1`,Jump to tab 2,Google Chrome,Windows & Tabs
,,,Ctrl+3,`IDC_SELECT_TAB_2`,Jump to tab 3,Google Chrome,Windows & Tabs
,,,Ctrl+4,`IDC_SELECT_TAB_3`,Jump to tab 4,Google Chrome,Windows & Tabs
,,,Ctrl+5,`IDC_SELECT_TAB_4`,Jump to tab 5,Google Chrome,Windows & Tabs
,,,Ctrl+6,`IDC_SELECT_TAB_5`,Jump to tab 6,Google Chrome,Windows & Tabs
,,,Ctrl+7,`IDC_SELECT_TAB_6`,Jump to tab 7,Google Chrome,Windows & Tabs
,,,Ctrl+8,`IDC_SELECT_TAB_7`,Jump to tab 8,Google Chrome,Windows & Tabs
go_to,tab,,Ctrl+9,`IDC_SELECT_LAST_TAB`,Jump to the last tab,Google Chrome,Windows & Tabs
duplicate,tab,,,`IDC_DUPLICATE_TAB`,Duplicate the current tab,Google Chrome,Windows & Tabs
open,closed,,Ctrl+Shift+T,`IDC_RESTORE_TAB`,Reopen the most recently closed tab/window,Google Chrome,Windows & Tabs
toggle,screen,,F11,`IDC_FULLSCREEN`,Toggle fullscreen,Google Chrome,Windows & Tabs
